firstname,lastname,birthDate,height,weight,bats,throws,yearID,age,lgID,teamID,POS,G,PA,AB,R,H,X1B,X2B,X3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GIDP,mergeon,switch
benny,agbayani,19711228,183,100,R,R,2008,37,Pacific League,Marines,DH,97,323,279,35,79,59,12,3,5,112,42,3,1,0,1,42,0,1,51,8,agbayani 19711228,-1
benny,agbayani,19711228,183,100,R,R,2009,38,Pacific League,Marines,DH,95,320,272,23,72,50,14,1,7,109,31,0,3,0,3,44,1,1,59,8,agbayani 19711228,-1
chris,aguila,19790223,180,90,R,R,2004,25,NL,FLO,RF,29,48,45,10,10,4,2,1,3,23,5,0,0,1,0,2,0,0,12,0,aguila 19790223,0
chris,aguila,19790223,180,90,R,R,2005,26,NL,FLO,RF,65,81,78,11,19,16,3,0,0,22,4,0,1,0,0,3,0,0,19,0,aguila 19790223,0
chris,aguila,19790223,180,90,R,R,2006,27,NL,FLO,RF,47,104,95,5,22,13,8,1,0,32,7,2,1,0,0,9,1,0,26,2,aguila 19790223,0
chris,aguila,19790223,180,90,R,R,2008,29,NL,NYN,LF,8,15,12,0,2,2,0,0,0,2,0,0,0,1,0,2,0,0,4,1,aguila 19790223,0
chris,aguila,19790223,180,90,R,R,2009,30,Pacific League,Hawks,LF,14,48,42,0,4,4,0,0,0,4,0,0,0,0,0,6,0,0,16,3,aguila 19790223,1
bob,alexander,19220807,188,92,R,R,1957,35,AL,CLE,P,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,alexander 19220807,0
bob,alexander,19220807,191,94,R,R,1959,37,Pacific League,Flyers,P,13,17,16,0,3,3,0,0,0,3,2,0,0,0,0,1,0,0,5,0,alexander 19220807,1
edgardo,alfonzo,19731108,180,95,R,R,1995,21,NL,NYN,3B,101,356,335,26,93,71,13,5,4,128,41,1,1,4,4,12,1,1,37,7,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,1996,22,NL,NYN,2B,123,407,368,36,96,75,15,2,4,127,40,2,0,9,5,25,2,0,56,8,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,1997,23,NL,NYN,3B,151,599,518,84,163,124,27,2,10,224,72,11,6,8,5,63,0,5,56,4,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,1998,24,NL,NYN,3B,144,630,557,94,155,108,28,2,17,238,78,8,3,2,3,65,1,3,77,11,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,1999,25,NL,NYN,2B,158,726,628,123,191,122,41,1,27,315,108,9,2,1,9,85,2,3,85,14,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,2000,26,NL,NYN,2B,150,650,544,109,176,109,40,2,25,295,94,3,2,0,6,95,1,5,70,12,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,2001,27,NL,NYN,2B,124,519,457,64,111,72,22,0,17,184,49,5,0,1,5,51,0,5,62,7,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,2002,28,NL,NYN,3B,135,562,490,78,151,109,26,0,16,225,56,6,0,0,3,62,8,7,55,5,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,2003,29,NL,SFN,3B,142,586,514,56,133,93,25,2,13,201,81,5,2,3,7,58,4,4,41,14,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,2004,30,NL,SFN,3B,139,576,519,66,150,112,26,1,11,211,77,1,1,2,4,46,2,5,40,15,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,2005,31,NL,SFN,3B,109,402,368,36,102,82,17,1,2,127,43,2,0,1,4,27,1,2,34,11,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,2006,32,AL,LAA,3B,18,52,50,1,5,4,1,0,0,6,1,0,0,0,0,2,0,0,3,1,alfonzo 19731108,0
edgardo,alfonzo,19731108,180,95,R,R,2006,32,AL,TOR,2B,12,43,37,4,6,5,1,0,0,7,4,0,0,0,0,5,0,1,1,1,alfonzo 19731108,0
edgardo,alfonzo,19731108,189,95,R,R,2009,36,Central League,Giants,1B,21,46,41,3,6,4,0,0,2,12,4,0,0,0,1,4,0,0,10,1,alfonzo 19731108,1
kim,allen,19530405,180,79,R,R,1980,27,AL,SEA,2B,23,62,51,9,12,9,3,0,0,15,3,10,3,2,0,8,2,1,3,1,allen 19530405,0
kim,allen,19530405,180,79,R,R,1981,28,AL,SEA,2B,19,3,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,allen 19530405,0
kim,allen,19530405,175,76,R,R,1982,29,Central League,Tigers,OF,78,287,254,40,66,51,8,4,3,91,16,22,6,8,0,19,1,6,22,3,allen 19530405,1
kim,allen,19530405,175,76,R,R,1983,30,Central League,Tigers,OF,47,143,127,24,35,23,9,1,2,52,10,12,8,2,1,10,0,3,8,3,allen 19530405,-1
rod,allen,19591005,185,83,R,R,1983,23,AL,SEA,RF,11,12,12,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,allen 19591005,0
rod,allen,19591005,185,83,R,R,1984,24,AL,DET,LF,15,31,27,6,8,7,1,0,0,9,3,1,0,1,0,2,0,1,8,0,allen 19591005,0
rod,allen,19591005,185,83,R,R,1988,28,AL,CLE,DH,5,11,11,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,allen 19591005,0
rod,allen,19591005,189,92,R,R,1989,30,Central League,Carp,OF,80,279,247,23,74,50,12,1,11,121,39,3,1,0,3,25,0,4,47,9,allen 19591005,1
rod,allen,19591005,189,92,R,R,1990,31,Central League,Carp,OF,98,367,326,56,102,64,12,1,25,191,61,2,2,1,2,32,3,6,60,10,allen 19591005,-1
rod,allen,19591005,189,92,R,R,1991,32,Central League,Carp,OF,68,226,206,23,48,29,10,0,9,85,33,1,1,0,1,19,2,0,44,2,allen 19591005,-1
chad,allen,19750206,185,88,R,R,1999,24,AL,MIN,LF,137,523,481,69,133,99,21,3,10,190,46,14,7,1,2,37,1,2,89,9,allen 19750206,0
chad,allen,19750206,185,88,R,R,2000,25,AL,MIN,RF,15,55,50,2,15,12,3,0,0,18,7,0,2,0,1,3,0,1,14,1,allen 19750206,0
chad,allen,19750206,185,88,R,R,2001,26,AL,MIN,LF,57,195,175,20,46,27,13,2,4,75,20,1,2,0,1,19,1,0,37,7,allen 19750206,0
chad,allen,19750206,185,88,R,R,2002,27,AL,CLE,LF,5,11,10,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,2,1,allen 19750206,0
chad,allen,19750206,185,88,R,R,2003,28,NL,FLO,LF,12,25,24,2,5,3,1,1,0,8,0,0,0,0,0,0,0,1,5,1,allen 19750206,0
chad,allen,19750206,185,88,R,R,2004,29,AL,TEX,LF,20,63,58,4,14,9,4,1,0,20,6,0,1,2,1,2,0,0,13,1,allen 19750206,0
chad,allen,19750206,185,88,R,R,2005,30,AL,TEX,RF,21,56,53,5,15,13,1,1,0,18,5,0,1,1,0,2,0,0,13,2,allen 19750206,0
chad,allen,19750206,185,91,R,R,2007,32,Pacific League,Buffaloes,RF,78,300,290,28,83,64,14,1,4,111,34,2,1,0,2,8,0,0,54,10,allen 19750206,1
brandon,allen,19860212,188,106,L,R,2009,23,NL,ARI,1B,32,116,104,13,21,10,7,0,4,40,14,0,0,0,0,12,2,0,40,4,allen 19860212,0
brandon,allen,19860212,188,106,L,R,2010,24,NL,ARI,LF,22,56,45,5,12,8,3,0,1,18,6,0,0,0,1,10,1,0,20,0,allen 19860212,0
brandon,allen,19860212,188,106,L,R,2011,25,AL,OAK,1B,41,158,146,18,30,16,9,2,3,52,11,2,0,0,1,11,1,0,55,0,allen 19860212,0
brandon,allen,19860212,188,106,L,R,2011,25,NL,ARI,1B,11,37,29,5,5,2,0,0,3,14,7,1,0,0,0,7,2,1,13,0,allen 19860212,0
brandon,allen,19860212,188,106,L,R,2012,26,Pacific League,Hawks,1B,12,36,35,4,6,5,1,0,0,7,1,0,0,0,0,1,0,0,13,0,allen 19860212,1
brandon,allen,19860212,188,106,L,R,2012,26,AL,TBA,LF,7,15,13,3,2,1,0,0,1,5,3,0,0,0,0,2,0,0,4,0,allen 19860212,0
brandon,allen,19860212,188,106,L,R,2012,26,AL,OAK,1B,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,allen 19860212,0
erick,almonte,19780201,188,111,R,R,2001,23,AL,NYA,SS,8,4,4,0,2,1,1,0,0,3,0,2,0,0,0,0,0,0,1,0,almonte 19780201,0
erick,almonte,19780201,188,111,R,R,2003,25,AL,NYA,SS,31,111,100,17,26,19,6,0,1,35,11,1,0,2,0,8,0,1,24,3,almonte 19780201,0
eric,almonte,19780201,188,81,R,R,2005,27,Pacific League,Fighters,SS,34,107,88,14,17,12,2,0,3,28,8,2,1,1,0,17,0,1,27,2,almonte 19780201,1
erick,almonte,19780201,188,111,R,R,2011,33,NL,MIL,RF,16,29,29,1,3,2,0,0,1,6,3,0,0,0,0,0,0,0,4,2,almonte 19780201,2
matty,alou,19381222,175,72,L,L,1960,21,NL,SFN,LF,4,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,alou 19381222,0
matty,alou,19381222,175,72,L,L,1961,22,NL,SFN,RF,81,217,200,38,62,47,7,2,6,91,24,3,2,1,1,15,2,0,18,4,alou 19381222,0
matty,alou,19381222,175,72,L,L,1962,23,NL,SFN,LF,78,213,195,28,57,45,8,1,3,76,14,3,1,1,0,14,0,3,17,3,alou 19381222,0
matty,alou,19381222,175,72,L,L,1963,24,NL,SFN,RF,63,80,76,4,11,10,1,0,0,12,2,0,1,1,0,2,0,1,13,1,alou 19381222,0
matty,alou,19381222,175,72,L,L,1964,25,NL,SFN,RF,110,267,250,28,66,59,4,2,1,77,14,5,3,2,1,11,3,3,25,3,alou 19381222,0
matty,alou,19381222,175,72,L,L,1965,26,NL,SFN,LF,117,351,324,37,75,59,12,2,2,97,18,10,2,8,0,17,2,2,28,15,alou 19381222,0
matty,alou,19381222,175,72,L,L,1966,27,NL,PIT,CF,141,578,535,86,183,154,18,9,2,225,27,23,15,12,3,24,4,4,44,3,alou 19381222,0
matty,alou,19381222,175,72,L,L,1967,28,NL,PIT,CF,139,584,550,87,186,156,21,7,2,227,28,16,10,3,1,24,1,6,42,3,alou 19381222,0
matty,alou,19381222,175,72,L,L,1968,29,NL,PIT,CF,146,598,558,59,185,153,28,4,0,221,52,18,10,7,4,27,6,2,26,10,alou 19381222,0
matty,alou,19381222,175,72,L,L,1969,30,NL,PIT,CF,162,746,698,105,231,183,41,6,1,287,48,22,8,1,3,42,9,2,35,5,alou 19381222,0
matty,alou,19381222,175,72,L,L,1970,31,NL,PIT,CF,155,718,677,97,201,171,21,8,1,241,47,19,11,4,3,30,3,4,18,9,alou 19381222,0
matty,alou,19381222,175,72,L,L,1971,32,NL,SLN,CF,149,660,609,85,192,151,28,6,7,253,74,19,10,6,7,34,3,4,27,9,alou 19381222,0
matty,alou,19381222,175,72,L,L,1972,33,AL,OAK,RF,32,136,121,11,34,28,5,0,1,42,16,2,1,1,2,11,1,1,12,1,alou 19381222,0
matty,alou,19381222,175,72,L,L,1972,33,NL,SLN,1B,108,431,404,46,127,105,17,2,3,157,31,11,4,1,1,24,2,1,23,12,alou 19381222,0
matty,alou,19381222,175,72,L,L,1973,34,AL,NYA,RF,123,538,497,59,147,122,22,1,2,177,28,5,2,6,2,30,0,3,43,18,alou 19381222,0
matty,alou,19381222,175,72,L,L,1973,34,NL,SLN,1B,11,12,11,1,3,3,0,0,0,3,1,0,0,0,0,1,1,0,0,2,alou 19381222,0
matty,alou,19381222,175,81,L,L,1974,35,Pacific League,Lions,IF,50,208,202,18,63,49,12,0,2,81,11,0,7,1,1,2,0,2,19,1,alou 19381222,1
matty,alou,19381222,175,72,L,L,1974,35,NL,SDN,LF,48,88,81,8,16,13,3,0,0,19,3,0,0,1,1,5,1,0,6,3,alou 19381222,0
matty,alou,19381222,175,81,L,L,1975,36,Pacific League,Lions,OF,123,500,458,49,129,88,32,1,8,187,45,7,2,10,2,28,3,2,33,9,alou 19381222,-1
matty,alou,19381222,175,81,L,L,1976,37,Pacific League,Lions,OF,89,270,253,18,66,54,7,1,4,87,19,2,1,4,0,13,1,0,25,2,alou 19381222,-1
george,altman,19330320,193,90,L,R,1959,26,NL,CHN,CF,135,468,420,54,103,73,14,4,12,161,47,1,0,6,1,34,4,7,80,8,altman 19330320,0
george,altman,19330320,193,90,L,R,1960,27,NL,CHN,CF,119,372,334,50,89,56,16,4,13,152,51,4,3,2,3,32,6,1,67,4,altman 19330320,0
george,altman,19330320,193,90,L,R,1961,28,NL,CHN,RF,138,573,518,77,157,90,28,12,27,290,96,6,2,4,7,40,3,4,92,4,altman 19330320,0
george,altman,19330320,193,90,L,R,1962,29,NL,CHN,RF,147,603,534,74,170,116,27,5,22,273,74,19,7,0,2,62,14,5,89,8,altman 19330320,0
george,altman,19330320,193,90,L,R,1963,30,NL,SLN,RF,135,521,464,62,127,93,18,7,9,186,47,13,4,2,6,47,2,2,93,7,altman 19330320,0
george,altman,19330320,193,90,L,R,1964,31,NL,NYN,LF,124,445,422,48,97,73,14,1,9,140,47,4,2,2,2,18,4,1,70,8,altman 19330320,0
george,altman,19330320,193,90,L,R,1965,32,NL,CHN,LF,90,216,196,24,46,34,7,1,4,67,23,3,2,1,0,19,2,0,36,1,altman 19330320,0
george,altman,19330320,193,90,L,R,1966,33,NL,CHN,LF,88,201,185,19,41,30,6,0,5,62,17,2,2,2,0,14,3,0,37,3,altman 19330320,0
george,altman,19330320,193,90,L,R,1967,34,NL,CHN,LF,15,20,18,1,2,0,2,0,0,4,1,0,0,0,0,2,0,0,8,0,altman 19330320,0
george,altman,19330320,197,92,L,R,1968,35,Pacific League,Orions,OF,139,586,531,84,170,102,33,1,34,307,100,8,5,0,7,43,3,5,80,10,altman 19330320,1
george,altman,19330320,197,92,L,R,1969,36,Pacific League,Orions,OF,129,500,457,65,123,75,25,2,21,215,82,9,1,0,7,33,2,3,64,8,altman 19330320,-1
george,altman,19330320,197,92,L,R,1970,37,Pacific League,Orions,OF,122,481,426,66,136,86,19,1,30,247,77,3,2,1,5,44,4,5,50,5,altman 19330320,-1
george,altman,19330320,197,92,L,R,1971,38,Pacific League,Orions,OF,114,435,388,56,124,68,15,2,39,260,103,2,2,1,6,38,15,2,53,5,altman 19330320,-1
george,altman,19330320,197,92,L,R,1972,39,Pacific League,Orions,OF,112,449,384,46,126,77,27,1,21,218,90,4,1,0,7,55,19,3,29,4,altman 19330320,-1
george,altman,19330320,197,92,L,R,1973,40,Pacific League,Orions,OF,120,433,365,54,112,67,17,1,27,212,80,4,5,1,3,62,12,2,30,7,altman 19330320,-1
george,altman,19330320,197,92,L,R,1974,41,Pacific League,Orions,OF,85,327,271,48,95,57,15,2,21,177,67,1,6,1,6,48,7,1,17,4,altman 19330320,-1
george,altman,19330320,197,92,L,R,1975,42,Central League,Tigers,IF,114,397,361,33,99,74,12,1,12,149,57,0,2,0,4,30,2,2,37,7,altman 19330320,-1
scott,anderson,19620801,198,86,R,R,1990,28,NL,MON,P,4,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,anderson 19620801,0
scott,anderson,19620801,195,86,R,R,1991,29,Central League,Dragons,P,26,50,46,2,3,2,1,0,0,4,1,0,1,3,0,1,0,0,23,0,anderson 19620801,1
scott,anderson,19620801,195,86,R,R,1992,30,Central League,Dragons,P,31,45,39,1,4,3,0,0,1,7,3,0,0,5,0,1,0,0,19,0,anderson 19620801,-1
mike,andrews,19430709,191,88,R,R,1966,23,AL,BOS,2B,5,19,18,1,3,3,0,0,0,3,0,0,0,1,0,0,0,0,2,0,andrews 19430709,0
mike,andrews,19430709,191,88,R,R,1967,24,AL,BOS,2B,142,578,494,79,130,102,20,0,8,174,40,7,7,18,2,62,4,2,72,9,andrews 19430709,0
mike,andrews,19430709,191,88,R,R,1968,25,AL,BOS,2B,147,634,536,77,145,115,22,1,7,190,45,3,8,12,2,81,1,3,57,6,andrews 19430709,0
mike,andrews,19430709,191,88,R,R,1969,26,AL,BOS,2B,121,554,464,79,136,93,26,2,15,211,59,1,1,10,4,71,0,5,53,7,andrews 19430709,0
mike,andrews,19430709,191,88,R,R,1970,27,AL,BOS,2B,151,681,589,91,149,103,28,1,17,230,65,2,1,4,4,81,0,3,63,10,andrews 19430709,0
mike,andrews,19430709,191,88,R,R,1971,28,AL,CHA,2B,109,408,330,45,93,65,16,0,12,145,47,3,5,6,4,67,1,1,36,6,andrews 19430709,0
mike,andrews,19430709,191,88,R,R,1972,29,AL,CHA,2B,148,602,505,58,111,86,18,0,7,150,50,2,2,18,7,70,3,2,78,4,andrews 19430709,0
mike,andrews,19430709,191,88,R,R,1973,30,AL,OAK,2B,18,24,21,1,4,3,1,0,0,5,0,0,0,0,0,3,0,0,1,1,andrews 19430709,0
mike,andrews,19430709,191,88,R,R,1973,30,AL,CHA,1B,52,185,159,10,32,23,9,0,0,41,10,0,1,3,0,23,3,0,28,7,andrews 19430709,0
mike,andrews,19430709,190,88,R,R,1975,32,Pacific League,Buffaloes,IF,123,422,389,31,90,65,12,1,12,140,40,2,1,3,2,28,0,0,43,11,andrews 19430709,1
eric,anthony,19671108,188,88,L,L,1989,21,NL,HOU,RF,25,70,61,7,11,5,2,0,4,25,7,0,0,0,0,9,2,0,16,1,anthony 19671108,0
eric,anthony,19671108,188,88,L,L,1990,22,NL,HOU,RF,84,277,239,26,46,28,8,0,10,84,29,5,0,1,6,29,3,2,78,4,anthony 19671108,0
eric,anthony,19671108,188,88,L,L,1991,23,NL,HOU,RF,39,132,118,11,18,11,6,0,1,27,7,1,0,0,2,12,1,0,41,2,anthony 19671108,0
eric,anthony,19671108,188,88,L,L,1992,24,NL,HOU,RF,137,483,440,45,105,70,15,1,19,179,80,5,4,0,4,38,5,1,98,7,anthony 19671108,0
eric,anthony,19671108,188,88,L,L,1993,25,NL,HOU,RF,145,539,486,70,121,83,19,4,15,193,66,3,5,0,2,49,2,2,88,9,anthony 19671108,0
eric,anthony,19671108,188,88,L,L,1994,26,AL,SEA,LF,79,288,262,31,62,37,14,1,10,108,30,6,2,2,1,23,4,0,66,7,anthony 19671108,0
eric,anthony,19671108,188,88,L,L,1995,27,NL,CIN,RF,47,150,134,19,36,25,6,0,5,57,23,2,1,0,3,13,2,0,30,1,anthony 19671108,0
eric,anthony,19671108,188,88,L,L,1996,28,NL,CIN,RF,47,145,123,22,30,16,6,0,8,60,13,0,1,0,0,22,2,0,36,2,anthony 19671108,0
eric,anthony,19671108,188,88,L,L,1996,28,NL,COL,CF,32,73,62,10,15,9,2,0,4,29,9,0,1,0,1,10,0,0,20,1,anthony 19671108,0
eric,anthony,19671108,188,88,L,L,1997,29,NL,LAN,LF,47,86,74,8,18,11,3,2,2,31,5,2,0,0,0,12,1,0,18,0,anthony 19671108,0
eric,anthony,19671108,188,89,L,L,1998,31,Central League,Swallows,OF,44,169,151,20,37,19,6,0,12,79,31,0,1,0,0,18,0,0,53,5,anthony 19671108,1
norichika,aoki,19820105,175,80,L,R,2004,22,Central League,Swallows,CF,10,16,15,1,3,3,0,0,0,3,0,1,0,0,0,1,0,0,6,0,aoki 19820105,0
norichika,aoki,19820105,175,80,L,R,2005,23,Central League,Swallows,CF,144,649,588,100,202,169,26,4,3,245,28,29,7,18,1,37,0,5,113,5,aoki 19820105,0
norichika,aoki,19820105,175,80,L,R,2006,24,Central League,Swallows,CF,146,680,599,112,192,150,26,3,13,263,62,41,12,4,1,68,2,8,78,3,aoki 19820105,0
norichika,aoki,19820105,175,80,L,R,2007,25,Central League,Swallows,CF,143,652,557,114,193,145,26,2,20,283,58,17,6,4,3,80,15,8,66,4,aoki 19820105,0
norichika,aoki,19820105,175,80,L,R,2008,26,Central League,Swallows,CF,112,500,444,85,154,106,29,5,14,235,64,31,9,1,3,42,6,10,47,10,aoki 19820105,0
norichika,aoki,19820105,175,80,L,R,2009,27,Central League,Swallows,CF,142,624,531,87,161,120,23,2,16,236,66,18,10,1,4,75,4,13,65,9,aoki 19820105,0
norichika,aoki,19820105,175,80,L,R,2010,28,Central League,Swallows,CF,144,667,583,92,209,150,44,1,14,297,63,19,4,0,3,63,7,18,61,10,aoki 19820105,0
norichika,aoki,19820105,175,80,L,R,2011,29,Central League,Swallows,CF,144,643,583,73,170,143,18,5,4,210,44,8,3,0,0,51,6,9,55,6,aoki 19820105,0
nori,aoki,19820105,175,81,L,R,2012,30,NL,MIL,RF,151,588,520,81,150,99,37,4,10,225,50,30,8,7,5,43,1,13,55,6,aoki 19820105,1
nori,aoki,19820105,175,81,L,R,2013,31,NL,MIL,RF,155,674,597,80,171,140,20,3,8,221,37,20,12,8,3,55,1,11,40,9,aoki 19820105,-1
nori,aoki,19820105,175,81,L,R,2014,32,AL,KCA,RF,132,549,491,63,140,111,22,6,1,177,43,17,8,8,1,43,0,6,49,5,aoki 19820105,-1
nori,aoki,19820105,175,81,L,R,2015,33,NL,SFN,LF,93,392,355,42,102,82,12,3,5,135,26,14,5,1,0,30,0,6,25,8,aoki 19820105,-1
nori,aoki,19820105,175,81,L,R,2016,34,AL,SEA,LF,118,466,417,63,118,86,24,4,4,162,28,7,9,5,1,34,0,9,45,9,aoki 19820105,-1
nori,aoki,19820105,175,81,L,R,2017,35,NL,NYN,RF,27,116,102,16,29,21,7,1,0,38,8,5,0,0,0,13,0,1,10,1,aoki 19820105,-1
